"%Inc Armour from Tree","방어 증가%(트리)"
"{0}% increased Attack, Cast and Movement Speed while you do not have Iron Reflexes","철의 반사신경이 없는 동안 공격, 시전 및 이동 속도 {0}% 증가"
"{0}% increased Attributes","능력치 {0}% 증가"
"{0}% increased Aura Area of Effect","오라 효과 범위 {0}% 증가"
"{0}% increased Ball Lightning Area of Effect","구형 번개 효과 범위 {0}% 증가"
"{0}% increased Ball Lightning Projectile Speed","구형 번개 투사체 속도 {0}% 증가"
"{0}% increased Barrage Damage","연발 사격 피해 {0}% 증가"
"{0}% increased Beam frequency per Static Energy","{0}% increased Beam frequency per Static Energy"
"{0}% increased Bear Trap Cooldown Recovery Speed","곰 덫 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Blade Flurry Area of Effect","질풍의 칼날 효과 범위 {0}% 증가"
"{0}% increased Blade Vortex Area of Effect","칼날 소용돌이 효과 범위 {0}% 증가"
"{0}% increased Blade Vortex Spell Damage","칼날 소용돌이 주문 피해 {0}% 증가"
"{0}% increased Bladefall Critical Strike Chance","칼날비 치명타 확률 {0}% 증가"
"{0}% increased Blast Rain Area of Effect","폭발 화살비 효과 범위 {0}% 증가"
"{0}% increased Bleeding Duration","출혈 지속시간 {0}% 증가"
"{0}% increased Blight Area of Effect","황폐 효과 범위 {0}% 증가"
"{0}% increased Blight Duration","황폐 지속시간 {0}% 증가"
"{0}% increased Blinding duration","실명 지속시간 {0}% 증가"
"{0}% increased Blink Arrow Cooldown Recovery Speed","점멸 화살 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Block Recovery","막기 회복 {0}% 증가"
"{0}% increased Bodyswap Damage","신체 전환 피해 {0}% 증가"
"{0}% increased Bow Physical Damage while holding a Shield","방패를 들고 있는 동안 활 물리 피해 {0}% 증가"
"{0}% increased Brand Activation Frequency if you haven't used a Brand Skill Recently","최근 4초 이내 낙인 스킬을 사용하지 않은 경우, 낙인 활성화 빈도 {0}% 증가"
"{0}% increased Brand Critical Strike Chance","낙인 치명타 확률 {0}% 증가"
"{0}% increased Brand Damage per {1} Devotion","{0}% increased Brand Damage per {1} Devotion"
"{0}% increased Buff Duration per Endurance Charge removed","제거된 인내 충전 하나당 버프 지속시간 {0}% 증가"
"{0}% increased Buff Effect on Low Energy Shield","에너지 보호막 저하 시 버프 효과 {0}% 증가"
"{0}% increased Burning Damage","화상 피해 {0}% 증가"
"{0}% increased Burning Damage if you've Ignited an Enemy Recently","최근에 적을 점화한 경우 화상 피해 {0}% 증가"
"{0}% increased Cast Speed","시전 속도 {0}% 증가"
"{0}% increased Cast Speed during Flask effect","{0}% increased Cast Speed during Flask effect"
"{0}% increased Cast Speed if a Minion has been Killed Recently","최근에 소환수가 적을 처치한 경우 시전 속도 {0}% 증가"
"{0}% increased Cast Speed if you've dealt a Critical Strike Recently","최근에 치명타 피해를 준 경우 시전 속도 {0}% 증가"
"{0}% increased Cast Speed per Frenzy Charge","격분 충전 하나당 시전 속도 {0}% 증가"
"{0}% increased Cast Speed when on Full Life","생명력이 가득 찬 상태일 시 시전 속도 {0}% 증가"
"{0}% increased Cast Speed while affected by Zealotry","열광 상태에서 시전 속도 {0}% 증가"
"{0}% increased Cast Speed while holding a Shield","방패를 들고 있는 동안 시전 속도 {0}% 증가"
"{0}% increased Cast Speed while wielding a Bow","활 장착 시 시전 속도 {0}% 증가"
"{0}% increased Cast Speed with Brand Skills","낙인 스킬 시전 속도 {0}% 증가"
"{0}% increased Cast Speed with Cold Skills","냉기 스킬 시전 속도 {0}% 증가"
"{0}% increased Cast Speed with Fire Skills","화염 스킬 사용 시 시전 속도 {0}% 증가"
"{0}% increased Caustic Arrow Area of Effect","부식성 화살 효과 범위 {0}% 증가"
"{0}% increased Caustic Arrow Duration","부식성 화살 지속시간 {0}% 증가"
"{0}% increased Chance to Block Attack and Spell Damage","공격 및 주문 피해 막기 확률 {0}% 증가"
"{0}% increased Chaos Damage for each Corrupted Item Equipped","장착한 타락 아이템 하나당 카오스 피해 {0}% 증가"
"{0}% increased Chaos Damage per {1} Intelligence Allocated in Radius","반경 내 할당된 지능 {1}당 카오스 피해 {0}% 증가"
"{0}% increased Chaos Damage per {1} maximum Mana, up to a maximum of {2}%","최대 마나 {1}당 카오스 피해 {0}% 증가, 최대 {2}%"
"{0}% increased Chaos Damage taken","받는 카오스 피해 {0}% 증가"
"{0}% increased Chaos Damage while affected by Herald of Agony","고통의 전령의 영향을 받는 동안 카오스 피해 {0}% 증가"
"{0}% increased Chaos Damage with Spell Skills","주문 스킬로 주는 카오스 피해 {0}% 증가"
"{0}% increased Character Size","캐릭터 크기 {0}% 증가"
"{0}% increased Charged Dash Damage","충전 질주 피해 {0}% 증가"
"{0}% increased Charges gained by Other Flasks during Flask Effect","플라스크 효과를 받는 동안 다른 플라스크로 획득하는 충전 {0}% 증가"
"{0}% increased Charges used. {1}% to this value when used","{0}% increased Charges used. {1}% to this value when used"
"{0}% increased Chill Duration on Enemies","적 냉각 지속시간 {0}% 증가"
"{0}% increased Chill Duration on you","냉각 지속시간 {0}% 증가"
"{0}% increased Claw Physical Damage per {1} Dexterity Allocated in Radius","반경 내 할당된 민첩 {1}당 클로 물리 피해 {0}% 증가"
"{0}% increased Cleave Area of Effect","회전베기 효과 범위 {0}% 증가"
"{0}% increased Cleave Damage","회전베기 피해 {0}% 증가"
"{0}% increased Cold Damage","냉기 피해 {0}% 증가"
"{0}% increased Cold Damage over Time","지속 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage per {1} Intelligence","지능 {1}당 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage per {1}% Chance to Block Attack Damage","{0}% increased Cold Damage per {1}% Chance to Block Attack Damage"
"{0}% increased Cold Damage per Frenzy Charge","격분 충전 하나당 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage taken if you've been Hit Recently","최근에 피격된 경우 받는 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage while affected by Herald of Ice","얼음의 전령의 영향을 받는 동안 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Attack Skills","공격 스킬의 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Bows","활 사용 시 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Daggers","단검 사용 시 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Maces and Sceptres","{0}% increased Cold Damage with Maces and Sceptres"
"{0}% increased Cold Damage with One Handed Melee Weapons","한손 근접 무기 사용 시 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Staves","지팡이 사용 시 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Two Handed Melee Weapons","양손 근접 무기 사용 시 냉기 피해 {0}% 증가"
"{0}% increased Cold Damage with Weapons","무기 사용 시 냉기 피해 {0}% 증가"
"{0}% increased Cold Snap Area of Effect","한파 효과 범위 {0}% 증가"
"{0}% increased Cold Snap Damage","한파 피해 {0}% 증가"
"{0}% increased Conductivity Duration","전도성 지속시간 {0}% 증가"
"{0}% increased Contagion Damage","전염 피해 {0}% 증가"
"{0}% increased Conversion Trap Cooldown Recovery Speed","전향 덫 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Convocation Cooldown Recovery Speed","소집 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Cooldown Recovery Rate of Movement Skills","이동 스킬의 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Cooldown Recovery Speed for each Normal or Magic Enemy in Area","지역 내 일반 혹은 마법 등급 적마다 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Cooldown Recovery Speed for Stance Skills","{0}% increased Cooldown Recovery Speed for Stance Skills"
"{0}% increased Cooldown Recovery Speed of Movement Skills","이동 스킬의 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Cooldown Recovery Speed per Brand, up to a maximum of {1}%","{0}% increased Cooldown Recovery Speed per Brand, up to a maximum of {1}%"
"{0}% increased Creeping Frost Area of Effect","{0}% increased Creeping Frost Area of Effect"
"{0}% increased Creeping Frost Duration","{0}% increased Creeping Frost Duration"
"{0}% increased Cremation Damage","시체 소각 피해 {0}% 증가"
"{0}% increased Critical Strike Chance against Bleeding Enemies","출혈 중인 적에게 주는 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance against Chilled Enemies","냉각된 적에게 주는 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance against Enemies on Consecrated Ground while affected by Zealotry","열광 상태에서 신성화 지대에 있는 적을 공격할 때 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance against Enemies that are affected by no Elemental Ailments","원소 상태 이상의 영향을 받지 않는 적에게 주는 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance against Shocked Enemies","감전된 적에 대한 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance during any Flask Effect","플라스크 효과를 받는 동안 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance for Attacks","공격 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance for each Mine Detonated Recently, up to {1}%","최근 4초 이내 폭발한 지뢰 하나당 치명타 확률 {0}% 증가, 최대 {1}%"
"{0}% increased Critical Strike Chance for Spells if you've Killed Recently","최근에 적을 처치한 경우 주문 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance for Spells per Raised Spectre","소환한 망령 하나당 주문 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance for Spells while holding a Shield","방패를 들고 있는 동안 주문 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance if you have Killed Recently","최근에 적을 처치한 경우 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance if you haven't Crit Recently","최근에 치명타가 없었던 경우 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance if you've Killed Recently","최근에 적을 처치한 경우 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance per {1}% Quality","{0}% increased Critical Strike Chance per {1}% Quality"
"{0}% increased Critical Strike Chance per Endurance Charge","인내 충전 하나당 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance per Grand Spectrum","{0}% increased Critical Strike Chance per Grand Spectrum"
"{0}% increased Critical Strike Chance per Power Charge","권능 충전 하나당 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance while affected by Wrath","진노의 영향을 받는 동안 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance while Dual Wielding","쌍수 사용 시 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance while you have at least {1} Intelligence","지능이 {1} 이상인 상태에서 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with arrows that Fork","갈라진 화살의 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Bows","활 사용 시 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Chaos Skills","카오스 스킬 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Cold Skills","냉기 스킬 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Elemental Skills","원소 스킬 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Lightning Skills","번개 스킬 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Mines","지뢰 사용 시 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Staves","지팡이 사용 시 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Totem Skills","토템 스킬 치명타 확률 {0}% 증가"
"{0}% increased Critical Strike Chance with Two Handed Melee Weapons","양손 근접 무기 사용 시 치명타 확률 {0}% 증가"
"{0}% increased Curse Duration","저주 지속시간 {0}% 증가"
"{0}% increased Cyclone Damage","회오리바람 피해 {0}% 증가"
"{0}% increased Damage against Abyssal Monsters","심연 몬스터에게 주는 피해 {0}% 증가"
"{0}% increased Damage against Ignited Enemies","점화된 적에게 주는 피해 {0}% 증가"
"{0}% increased Damage during any Flask Effect","플라스크 효과를 받는 동안 피해 {0}% 증가"
"{0}% increased Damage for each Magic Item Equipped","장착한 마법 아이템 하나당 피해 {0}% 증가"
"{0}% increased Damage for each time you've Warcried Recently","최근 4초 이내 함성 사용 횟수 하나당 피해 {0}% 증가"
"{0}% increased Damage for each type of Abyss Jewel affecting you","자신에게 영향을 주는 심연 주얼 유형당 피해 {0}% 증가"
"{0}% increased Damage if Corrupted","타락 시 피해 {0}% 증가"
"{0}% increased Damage if you have Consumed a corpse Recently","최근 4초 이내 시신을 소모한 경우 피해 {0}% 증가"
"{0}% increased Damage if you Summoned a Golem in the past {1} seconds","지난 {1}초 이내에 골렘을 소환한 경우 피해 {0}% 증가"
"{0}% increased Damage if you've dealt a Critical Strike Recently","최근에 치명타를 준 경우 피해 {0}% 증가"
"{0}% increased Damage if you've killed a Bleeding Enemy Recently","최근에 출혈 중인 적을 처치한 경우 피해 {0}% 증가"
"{0}% increased Damage if you've Killed Recently","최근에 적을 처치한 경우 피해 {0}% 증가"
"{0}% increased Damage if you've taken no Damage from Hits Recently","최근에 타격으로 피해를 받지 않은 경우 피해 {0}% 증가"
"{0}% increased Damage of each Damage Type for which you have a matching Golem","같은 유형의 골렘을 보유하고 있는 각 피해 유형의 피해 {0}% 증가"
"{0}% increased Damage over Time","지속 피해 {0}% 증가"
"{0}% increased Damage over Time per Frenzy Charge","격분 충전 하나당 지속 피해 {0}% 증가"
"{0}% increased Damage over Time while affected by a Herald","전령의 영향을 받는 동안 지속 피해 {0}% 증가"
"{0}% increased Damage over Time while holding a Shield","방패를 들고 있는 동안 지속 피해 {0}% 증가"
"{0}% increased Damage Over Time with Attack Skills","공격 스킬의 지속 피해 {0}% 증가"
"{0}% increased Damage per {1} Dexterity","민첩 {1}당 피해 {0}% 증가"
"{0}% increased Damage per {1} Levels","{1}레벨당 피해 {0}% 증가"
"{0}% increased Damage per {1} Strength","힘 {1}당 피해 {0}% 증가"
"{0}% increased Damage per {1}% Chance to Block Attack Damage","공격 피해 막기 확률 {1}%당 피해 {0}% 증가"
"{0}% increased Damage per Curse on you","걸린 저주당 피해 {0}% 증가"
"{0}% increased Damage per Enemy Killed by you or your Totems Recently","최근에 자신 또는 자신의 토템이 처치한 적 하나당 피해 {0}% 증가"
"{0}% increased Damage per Frenzy Charge with Hits against Enemies on Low Life","격분 충전 하나당 낮은 생명력 상태의 적에게 주는 타격 피해 {0}% 증가"
"{0}% increased Damage per one hundred nearby Enemies","근접한 적 100명당 주는 피해 {0}% 증가"
"{0}% increased Damage per Power Charge with Hits against Enemies on Full Life","권능 충전 하나당 생명력이 가득 찬 적에게 주는 타격 피해 {0}% 증가"
"{0}% increased Damage per Raised Zombie","{0}% increased Damage per Raised Zombie"
"{0}% increased Damage taken","받는 피해 {0}% 증가"
"{0}% increased Damage taken from Bleeding Enemies","출혈 상태인 적으로부터 받는 피해 {0}% 증가"
"{0}% increased Damage taken from Damage Over Time","지속 피해로 받는 피해 {0}% 증가"
"{0}% increased Damage taken from Demons during Flask effect","플라스크 효과를 받는 동안 악마에게 받는 피해 {0}% 증가"
"{0}% increased Damage taken from Hits","{0}% increased Damage taken from Hits"
"{0}% increased Damage taken from Melee Attacks","근접 공격으로 받는 피해 {0}% 증가"
"{0}% increased Damage taken from Skeletons","해골에게 받는 피해 {0}% 증가"
"{0}% increased Damage taken from Trap or Mine Hits","덫 또는 지뢰 타격으로 받는 피해 {0}% 증가"
"{0}% increased Damage taken if you haven't been Hit Recently","최근에 피격되지 않은 경우 받는 피해 {0}% 증가"
"{0}% increased Damage taken if you've Killed Recently","최근에 적을 처치한 경우 받는 피해 {0}% 증가"
"{0}% increased Damage taken if you've Taunted an Enemy Recently","최근에 적을 도발한 경우 받는 피해 {0}% 증가"
"{0}% increased Damage taken per {1} Intelligence","지능 {1}당 받는 피해 {0}% 증가"
"{0}% increased Damage taken per Frenzy Charge","격분 충전 하나당 받는 피해 {0}% 증가"
"{0}% increased Damage taken while Elusive","{0}% increased Damage taken while Elusive"
"{0}% increased Damage taken while on Full Energy Shield","에너지 보호막이 가득 찬 동안 받는 피해 {0}% 증가"
"{0}% increased Damage when not on Low Life","낮은 생명력 상태가 아닌 경우 피해 {0}% 증가"
"{0}% increased Damage when on Low Life","낮은 생명력 상태에서 피해 {0}% 증가"
"{0}% increased Damage when you have no Energy Shield","에너지 보호막이 없을 시 피해 {0}% 증가"
"{0}% increased Damage while Channelling","{0}% increased Damage while Channelling"
"{0}% increased Damage while Ignited","점화 상태에서 피해 {0}% 증가"
"{0}% increased Damage while Leeching","흡수하는 동안 피해 {0}% 증가"
"{0}% increased Damage while Leeching Life","생명력을 흡수하는 동안 피해 {0}% 증가"
"{0}% increased Damage while not on full Energy Shield","에너지 보호막이 가득 찬 상태가 아닌 동안 피해 {0}% 증가"
"{0}% increased Damage while on Full Energy Shield","에너지 보호막이 최대일 때 피해 {0}% 증가"
"{0}% increased Damage while there is only one nearby Enemy","근접한 적이 하나만 있을 때 피해 {0}% 증가"
"{0}% increased Damage while you have a Summoned Golem","소환된 골렘 1개를 보유하는 동안 피해 {0}% 증가"
"{0}% increased Damage while you have Fortify","방어 상승 상태에서 피해 {0}% 증가"
"{0}% increased Damage while you have no Frenzy Charges","격분 충전이 없는 동안 피해 {0}% 증가"
"{0}% increased Damage with Ailments from Attack Skills","공격 스킬의 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Ailments from Attack Skills while wielding a Claw","클로 장착 시 공격 스킬의 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Ailments from Attack Skills while wielding a Mace or Sceptre","철퇴 및 셉터 장착 시 공격 스킬의 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Ailments from Attack Skills while wielding a One Handed Weapon","한손 무기 장착 시 공격 스킬의 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Ailments from Attack Skills while wielding a Sword","검 장착 시 공격 스킬의 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Ailments from Attack Skills while wielding a Wand","마법봉 장착 시 공격 스킬의 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Ailments per Elder Item Equipped","장착한 엘더 아이템 하나당 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Bleeding","출혈 피해 {0}% 증가"
"{0}% increased Damage with Bleeding per Endurance Charge","인내 충전 하나당 출혈 피해 {0}% 증가"
"{0}% increased Damage with Bows","활 사용 시 피해 {0}% 증가"
"{0}% increased Damage with Brand Skills per {1} Devotion","헌신 {1}당 낙인 스킬의 피해 {0}% 증가"
"{0}% increased Damage with Cold Skills","냉기 스킬 사용 시 피해 {0}% 증가"
"{0}% increased Damage with Fire Skills","화염 스킬 사용 시 피해 {0}% 증가"
"{0}% increased Damage with Hits against Demons","악마에게 주는 타격 피해 {0}% 증가"
"{0}% increased Damage with Hits against Enemies that are on Low Life","낮은 생명력 상태의 적 적중 시 피해 {0}% 증가"
"{0}% increased Damage with Hits against Frozen, Shocked or Ignited Enemies","동결, 감전 또는 점화된 적에게 주는 타격 피해 {0}% 증가"
"{0}% increased Damage with Hits against Rare monsters","희귀 몬스터에게 주는 타격 피해 {0}% 증가"
"{0}% increased Damage with Hits and Ailments against Bleeding Enemies","출혈 중인 적에 대한 적중 및 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Hits and Ailments against Burning Enemies","화상 상태의 적에게 주는 타격 및 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Hits and Ailments against Cursed Enemies","저주 받은 적에 대한 적중 및 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Hits and Ailments against Enemies affected by Ailments","상태 이상에 영향을 받는 적에 대한 적중 및 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Hits and Ailments against Unique Enemies","고유 적에 대한 적중 및 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Hits and Ailments per Freeze, Shock and Ignite on Enemy","동결, 감전 및 점화된 적 하나당 타격 및 상태 이상 피해 {0}% 증가"
"{0}% increased Damage with Hits and Poison","타격 및 중독 피해 {0}% 증가"
"{0}% increased Damage with Hits for each Level higher the Enemy is than you","자신보다 레벨이 높은 적 하나당 타격 피해 {0}% 증가"
"{0}% increased Damage with Lightning Skills","번개 스킬 피해 {0}% 증가"
"{0}% increased Damage with Maces or Sceptres","{0}% increased Damage with Maces or Sceptres"
"{0}% increased Damage with Movement Skills","이동 스킬 피해 {0}% 증가"
"{0}% increased Damage with Poison","중독 피해 {0}% 증가"
"{0}% increased Damage with Poison inflicted on Bleeding Enemies","출혈 중인 적에게 주는 중독 피해 {0}% 증가"
"{0}% increased Damage with Poison per Power Charge","권능 충전 하나당 중독 피해 {0}% 증가"
"{0}% increased Damage with Shield Skills per {1}% Chance to Block Attack Damage","{0}% increased Damage with Shield Skills per {1}% Chance to Block Attack Damage"
"{0}% increased Damage with Swords","검 사용 시 피해 {0}% 증가"
"{0}% increased Damage with Unarmed Attacks","비무장 상태의 공격 피해 {0}% 증가"
"{0}% increased Damage with Wands","마법봉 피해 {0}% 증가"
"{0}% increased Dark Pact Area of Effect","어둠의 서약 효과 범위 {0}% 증가"
"{0}% increased Dark Pact Damage","어둠의 서약 피해 {0}% 증가"
"{0}% increased Debuff Effect","{0}% increased Debuff Effect"
"{0}% increased Decoy Totem Life","미끼 토템 생명력 {0}% 증가"
"{0}% increased Defences from Equipped Shield per {1} Devotion","헌신 {1}당 장착한 방패로 얻는 방어 {0}% 증가"
"{0}% increased Desecrate Damage","모독 피해 {0}% 증가"
"{0}% increased Despair Curse Effect","절망의 저주 효과 {0}% 증가"
"{0}% increased Detonate Dead Area of Effect","시체 폭발 효과 범위 {0}% 증가"
"{0}% increased Devouring Totem Leech per second","초당 포식 토템 흡수 {0}% 증가"
"{0}% increased Dexterity if Strength is higher than Intelligence","힘이 지능보다 높은 경우 민첩 {0}% 증가"
"{0}% increased Discharge Damage","방출 피해 {0}% 증가"
"{0}% increased Dominating Blow Damage","지배의 강타 피해 {0}% 증가"
"{0}% increased Double Strike Critical Strike Chance","이중 타격 치명타 확률 {0}% 증가"
"{0}% increased Dual Strike Attack Speed","쌍수 타격 공격 속도 {0}% 증가"
"{0}% increased Dual Strike Damage","쌍수 타격 피해 {0}% 증가"
"{0}% increased Duration of Ailments inflicted while wielding a Bow","활 장착 시 유발되는 상태 이상 지속시간 {0}% 증가"
"{0}% increased Duration of Ailments you inflict while Focussed","집중 상태에서 적에게 유발한 상태 이상 지속시간 {0}% 증가"
"{0}% increased Duration of Curses on you","플레이어에게 걸린 저주 지속시간 {0}% 증가"
"{0}% increased Duration of Damaging Ailments","피해를 주는 상태 이상 지속시간 {0}% 증가"
"{0}% increased Duration of Poisons you inflict during Flask effect","플라스크 효과를 받는 동안 플레이어가 유발한 중독 지속시간 {0}% 증가"
"{0}% increased Duration of Shrine Effects on you","자신에게 적용되는 성소 효과 지속시간 {0}% 증가"
"{0}% increased Duration of this Skill and Damaging Ailments","이 스킬 및 피해를 주는 상태 이상 지속시간 {0}% 증가"
"{0}% increased Duration per Stage","단계당 지속시간 {0}% 증가"
"{0}% increased Duration. {1}% to this value when used","{0}% increased Duration. {1}% to this value when used"
"{0}% increased Earthquake Damage","지진 피해 {0}% 증가"
"{0}% increased effect","효과 {0}% 증가"
"{0}% increased Effect of Arcane Surge on you per {1} Mana spent Recently, up to {2}%","최근 4초 이내 사용한 마나 {1}당 비전 쇄도 효과 {0}% 증가, 최대 {2}%"
"{0}% increased Effect of Auras from Mines","지뢰의 오라 효과 {0}% 증가"
"{0}% increased Effect of Auras on you","플레이어의 오라 효과 {0}% 증가"
"{0}% increased Effect of Auras on your Minions","소환수의 오라 효과 {0}% 증가"
"{0}% increased Effect of Buffs granted by your Active Ancestor Totems","활성화한 선대의 토템이 주는 버프 효과 {0}% 증가"
"{0}% increased Effect of Buffs granted by your Golems","골렘이 제공하는 버프 효과 {0}% 증가"
"{0}% increased Effect of Buffs on you","플레이어의 버프 효과 {0}% 증가"
"{0}% increased Effect of Chill","냉각 효과 {0}% 증가"
"{0}% increased Effect of Chill you inflict with Critical Strikes","치명타로 유발한 냉각 효과 {0}% 증가"
"{0}% increased Effect of Chilled Ground on you","플레이어가 받는 얼음 지대 효과 {0}% 증가"
"{0}% increased Effect of Curse against Players","플레이어가 받는 저주 효과 {0}% 증가"
"{0}% increased Effect of Curses on Monsters","몬스터에게 걸리는 저주 효과 {0}% 증가"
"{0}% increased Effect of Curses on you","플레이어에게 걸린 저주 효과 {0}% 증가"
"{0}% increased Effect of Curses on you while on Consecrated Ground","{0}% increased Effect of Curses on you while on Consecrated Ground"
"{0}% increased effect of Elemental Equilibrium","원소 균형 효과 {0}% 증가"
"{0}% increased Effect of Elusive from this Skill","해당 스킬로 부여된 도피 효과 {0}% 증가"
"{0}% increased Effect of Fortify on you","자신의 방어 상승 효과 {0}% 증가"
"{0}% increased Effect of Fortify on you while Focussed","집중 상태에서 방어 상승 효과 {0}% 증가"
"{0}% increased Effect of Herald Buffs on you","자신에게 적용되는 전령 버프 효과 {0}% 증가"
"{0}% increased effect of Hinder on you","자신에게 적용되는 방해 효과 {0}% 증가"
"{0}% increased Effect of Impales you inflict with Two Handed Weapons","양손 무기로 유발하는 꿰뚫기의 효과 {0}% 증가"
"{0}% increased Effect of Infusion","주입 효과 {0}% 증가"
"{0}% increased effect of Non-Curse Auras from your Skills","자신의 비-저주 오라 스킬 효과 {0}% 증가"
"{0}% increased effect of Non-Curse Auras from your Skills on your Minions","{0}% increased effect of Non-Curse Auras from your Skills on your Minions"
"{0}% increased Effect of Non-Damaging Ailments","적에게 피해를 주지 않는 상태 이상 효과 {0}% 증가"
"{0}% increased Effect of non-Damaging Ailments on Enemies per {1} Devotion","헌신 {1}당 적에게 피해를 주지 않는 상태 이상 효과 {0}% 증가"
"{0}% increased Effect of Non-Damaging Ailments on you","{0}% increased Effect of Non-Damaging Ailments on you"
"{0}% increased Effect of non-Damaging Ailments per Elder Item Equipped","장착한 엘더 아이템 하나당 적에게 피해를 주지 않는 상태 이상 효과 {0}% 증가"
"{0}% increased effect of Offering spells","공물 주문 효과 {0}% 증가"
"{0}% increased effect of Onslaught on Players and Monsters","플레이어와 몬스터에게 적용되는 맹공 효과 {0}% 증가"
"{0}% increased Effect of Shock on you","자신에게 적용되는 감전 효과 {0}% 증가"
"{0}% increased Effect of Shocked Ground on you","플레이어가 받는 감전 지대 효과 {0}% 증가"
"{0}% increased Effect of Socketed Jewels","장착된 주얼의 효과 {0}% 증가"
"{0}% increased Effect of Tailwind on you","자신에게 적용되는 순풍 효과 {0}% 증가"
"{0}% increased Effect of the Buff granted by your Carrion Golems","{0}% increased Effect of the Buff granted by your Carrion Golems"
"{0}% increased Effect of the Buff granted by your Flame Golems","화염 골렘이 제공하는 버프 효과 {0}% 증가"
"{0}% increased Effect of the Buff granted by your Lightning Golems","번개 골렘이 제공하는 버프 효과 {0}% 증가"
"{0}% increased Effect of Withered","위축 효과 {0}% 증가"
"{0}% increased Effect of your Curses if you've spent {1} total Mana Recently","최근 4초 이내 사용한 마나가 {1} 이상일 경우 자신의 저주 효과 {0}% 증가"
"{0}% increased effectiveness of Damage over Time Debuffs from Labyrinth Traps on Players","{0}% increased effectiveness of Damage over Time Debuffs from Labyrinth Traps on Players"
"{0}% increased Elemental Ailment Duration on you per {1} Devotion","헌신 {1}당 원소 상태 이상 지속시간 {0}% 증가"
"{0}% increased Elemental Damage during any Flask Effect","플라스크 효과를 받는 동안 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage if you've dealt a Critical Strike Recently","최근에 치명타를 준 경우 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage if you've Killed a Cursed Enemy Recently","최근에 저주받은 적을 처치한 경우 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage if you've used a Warcry Recently","최근에 함성을 사용한 경우 원소 피해 {0}% 증가"
