"Life Regen","생명력 재생"
"{0}% chance to gain an Endurance Charge when you use a Fire skill","화염 관련 스킬 사용 시 인내 충전 획득 확률 {0}%"
"{0}% chance to gain an Endurance Charge on Bow Critical Strike","활 치명타 시 {0}%의 확률로 인내 충전 획득"
"Gain an Endurance Charge on Bow Critical Strike","활 치명타 시 인내 충전 획득"
"{0}% chance to gain a Frenzy Charge on Killing a Frozen Enemy","동결된 적 처치 시 {0}%의 확률로 격분 충전 획득"
"Gain a Frenzy Charge on Killing a Frozen Enemy","동결된 적 처치 시 격분 충전 획득"
"{0}% chance to gain a Power Charge on Killing a Frozen Enemy","동결된 적 처치 시 {0}%의 확률로 권능 충전 획득"
"Gain a Power Charge on Killing a Frozen Enemy","동결된 적 처치 시 권능 충전 획득"
"Adds {0} minimum Cold Damage to Spells per Power Charge","권능 충전 하나당 주문 시전 시 최소 {0}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Spells per Power Charge","권능 충전 하나당 주문 시전 시 {0}~{1}의 냉기 피해 추가"
"Skills Chain an additional time while at maximum Frenzy Charges","최대 격분 충전 상태에서 스킬 연쇄 추가 1회"
"Skills Chain {0} additional times while at maximum Frenzy Charges","최대 격분 충전 상태에서 스킬 연쇄 추가 {0}회"
"Gain a Frenzy Charge on Critical Strike","치명타 시 격분 충전 획득"
"Gain a Power Charge on Critical Strike","치명타 시 권능 충전 획득"
"{0}% chance to gain a Power Charge on Critical Strike","치명타 명중 시 {0}%의 확률로 권능 충전 획득"
"Gain a Power Charge on Melee Critical Strike","근접 치명타 시 권능 충전 획득"
"{0}% chance to gain an Endurance Charge on Hit","명중 시 인내 충전을 획득할 확률 {0}%"
"{0}% chance to gain a Frenzy Charge on Hit","명중 시 격분 충전을 획득할 확률 {0}%"
"{0}% chance to gain a Power Charge on Hit","명중 시 권능 충전을 획득할 확률 {0}%"
"Gain an Endurance Charge when you take a Critical Strike","치명타 피격 시 인내 충전 획득"
"Gain an Endurance Charge when you suffer an Elemental Ailment","원소 상태 이상 하나를 겪고 있는 경우 인내 충전 획득"
"{0}% chance to Avoid being Chilled","{0}%의 확률로 냉각 회피"
"Cannot be Chilled","냉각되지 않음"
"{0}% chance to Avoid being Frozen","{0}%의 확률로 동결 회피"
"Cannot be Frozen","동결되지 않음"
"{0}% chance to Avoid being Ignited","{0}%의 확률로 점화 회피"
"Cannot be Ignited","점화되지 않음"
"{0}% chance to Avoid being Shocked","{0}%의 확률로 감전 회피"
"Cannot be Shocked","감전되지 않음"
"{0}% chance to Avoid Elemental Ailments","{0}%의 확률로 원소 상태 이상 회피"
"Cannot receive Elemental Ailments","원소 상태 이상을 받을 수 없음"
"{0}% chance to Avoid being Ignited while on Low Life","낮은 생명력 상태에서 {0}%의 확률로 점화 회피"
"Cannot be Ignited while on Low Life","낮은 생명력 상태에서 점화되지 않음"
"{0}% chance to Avoid being Poisoned","{0}%의 확률로 중독 회피"
"Cannot be Poisoned","중독되지 않음"
"{0}% chance to Avoid being Stunned","{0}%의 확률로 기절 회피"
"Cannot be Stunned","기절하지 않음"
"Always Ignites Enemies on Hit","명중 시 항상 적 점화"
"Always Shocks Enemies on Hit","명중 시 항상 적 감전"
"Always Stuns Enemies on Hit","명중 시 항상 적 기절"
"{0}% increased Chill Duration on enemies","적 냉각 지속시간 {0}% 증가"
"{0}% reduced Chill Duration on enemies","적 냉각 지속시간 {0}% 감소"
"{0}% increased Shock Duration on enemies","적에게 적용되는 감전 지속시간 {0}% 증가"
"{0}% reduced Shock Duration on enemies","적 감전 지속시간 {0}% 감소"
"{0}% increased Freeze Duration on enemies","적에게 적용되는 동결 지속시간 {0}% 증가"
"{0}% reduced Freeze Duration on enemies","적 동결 지속시간 {0}% 감소"
"{0}% increased Ignite Duration on enemies","적에게 적용되는 점화 지속시간 {0}% 증가"
"{0}% reduced Ignite Duration on enemies","적 점화 지속시간 {0}% 감소"
"{0}% increased Duration of Ailments on Enemies","적의 상태 이상 지속시간 {0}% 증가"
"{0}% reduced Duration of Ailments on Enemies","적의 상태 이상 지속시간 {0}% 감소"
"{0}% increased Duration of Elemental Ailments on Enemies","적에게 적용되는 원소 상태 이상 지속시간 {0}% 증가"
"{0}% reduced Duration of Elemental Ailments on Enemies","적의 원소 상태 이상 지속시간 {0}% 감소"
"Cannot inflict Elemental Ailments","원소 상태 이상을 유발할 수 없음"
"{0}% increased Stun Duration on enemies","적에게 적용되는 기절 지속시간 {0}% 증가"
"{0}% reduced Stun Duration on enemies","적 기절 지속시간 {0}% 감소"
"{0}% increased Stun Duration with Two Handed Melee Weapons on Enemies","양손 근접 무기 사용 시 적 기절 지속시간 {0}% 증가"
"{0}% reduced Stun Duration with Two Handed Melee Weapons on Enemies","양손 근접 무기 사용 시 적 기절 지속시간 {0}% 감소"
"{0}% increased Stun Duration with Bows on Enemies","활 사용 시 적 기절 지속시간 {0}% 증가"
"{0}% reduced Stun Duration with Bows on Enemies","활 사용 시 적 기절 지속시간 {0}% 감소"
"{0}% increased Stun Duration with Staves on Enemies","지팡이 사용 시 적 기절 지속시간 {0}% 증가"
"{0}% reduced Stun Duration with Staves on Enemies","지팡이 사용 시 적 기절 지속시간 {0}% 감소"
"{0}% reduced Elemental Ailment Duration on you","원소 상태 이상 지속시간 {0}% 감소"
"{0}% increased Elemental Ailment Duration on you","원소 상태 이상 지속시간 {0}% 증가"
"{0}% reduced Chill Duration on you","냉각 지속시간 {0}% 감소"
"{0}% increased Chill Duration on you","냉각 지속시간 {0}% 증가"
"{0}% reduced Shock Duration on you","감전 지속시간 {0}% 감소"
"{0}% increased Shock Duration on you","감전 지속시간 {0}% 증가"
"{0}% reduced Freeze Duration on you","동결 지속시간 {0}% 감소"
"{0}% increased Freeze Duration on you","동결 지속시간 {0}% 증가"
"{0}% reduced Ignite Duration on you","점화 지속시간 {0}% 감소"
"{0}% increased Ignite Duration on you","점화 지속시간 {0}% 증가"
"{0}% chance of Fire Spreading between Enemies","적 사이에 화염이 확산될 확률 {0}%"
"{0}% increased Burning Damage","화상 피해 {0}% 증가"
"{0}% reduced Burning Damage","화상 피해 {0}% 감소"
"{0} to Level of Active Skills","액티브 스킬 레벨 {0}"
"{0}% increased Experience Gain of Gems","젬의 경험치 획득 {0}% 증가"
"{0}% reduced Experience Gain of Gems","젬의 경험치 획득 {0}% 감소"
"{0}% increased Area of Effect","효과 범위 {0}% 증가"
"{0}% reduced Area of Effect","효과 범위 {0}% 감소"
"{0}% reduced Mana Cost of Skills","스킬의 마나 소모 {0}% 감소"
"{0}% increased Mana Cost of Skills","스킬의 마나 소모 {0}% 증가"
"{0}% increased Mana Cost of Skills while on Full Energy Shield","에너지 보호막이 가득 찬 동안 스킬의 마나 소모 {0}% 증가"
"{0}% reduced Mana Cost of Skills while on Full Energy Shield","에너지 보호막이 가득 찬 동안 스킬의 마나 소모 {0}% 감소"
"{0}% increased Mana Cost of Skills when on Low Life","낮은 생명력 상태에서 스킬의 마나 소모 {0}% 증가"
"{0}% reduced Mana Cost of Skills when on Low Life","낮은 생명력 상태에서 스킬의 마나 소모 {0}% 감소"
"{0} to Total Mana Cost of Skills","스킬의 총 마나 소모 {0}"
"Your Attacks do not cost Mana","공격 시 마나를 소모하지 않음"
"Skills Repeat an additional Time","스킬 1회 추가 반복"
"Skills Repeat an additional {0} Times","스킬 {0}회 추가 반복"
"Spells Repeat an additional Time","주문 1회 추가 반복"
"Spells Repeat an additional {0} Times","주문 {0}회 추가 반복"
"{0}% increased Skill Effect Duration","스킬 효과 지속시간 {0}% 증가"
"{0}% reduced Skill Effect Duration","스킬 효과 지속시간 {0}% 감소"
"Chaos Skills have {0}% increased Skill Effect Duration","카오스 스킬의 스킬 효과 지속시간 {0}% 증가"
"Chaos Skills have {0}% reduced Skill Effect Duration","카오스 스킬의 스킬 효과 지속시간 {0}% 감소"
"{0}% reduced Skill Cooldown","스킬 재사용 대기시간 {0}% 감소"
"{0}% increased Skill Cooldown","스킬 재사용 대기시간 {0}% 증가"
"{0}% chance to Avoid interruption from Stuns while Casting","시전하는 동안 {0}%의 확률로 기절 방해 회피"
"{0} additional target","추가 표적 {0}개"
"{0} additional targets","추가 표적 {0}개"
"{0}% increased Stun and Block Recovery","기절 및 막기 회복 {0}% 증가"
"{0}% reduced Stun and Block Recovery","기절 및 막기 회복 {0}% 감소"
"{0}% increased Stun and Block Recovery per Frenzy Charge","격분 충전 하나당 기절 및 막기 회복 {0}% 증가"
"{0}% reduced Stun and Block Recovery per Frenzy Charge","격분 충전 하나당 기절 및 막기 회복 {0}% 감소"
"{0}% reduced Enemy Chance to Block Sword Attacks","적의 검 공격 막기 확률 {0}% 감소"
"{0}% reduced Enemy Chance to Block Bow Attacks","적의 활 공격 막기 확률 {0}% 감소"
"{0}% reduced Enemy Block Chance","적 막기 확률 {0}% 감소"
"Enemies have {0}% reduced chance to Dodge your Hits","플레이어의 공격을 적이 완벽회피할 확률 {0}% 감소"
"Damaged Monsters do not Heal","피해받은 몬스터가 치유하지 않음"
"{0}% increased Duration that Monsters do not Heal","몬스터가 치유하지 않는 지속시간 {0}% 증가"
"{0}% reduced Duration that Monsters do not Heal","몬스터가 치유하지 않는 지속시간 {0}% 감소"
"{0}% chance of Defusing Trapped Chests","덫 상자 해제 확률 {0}%"
"Enemies Become Chilled as they Unfreeze","적이 동결 해제되기 전까지 냉각됨"
"Enemies you kill are Shocked","처치한 적이 감전됨"
"While Casting, Enemies that Hit you are Shocked","시전하는 동안 플레이어를 타격한 적이 감전됨"
"Has maximum Quality","최대 퀄리티"
"Extra Socket","추가 홈"
"Cannot Evade enemy Attacks","적 공격을 회피할 수 없음"
"All Sockets are White","모든 홈이 하얀색임"
"Socketed Gems Do Not Gain Experience","장착된 젬이 경험치를 획득하지 않음"
"This Gem gains {0}% increased Experience","이 젬의 경험치 획득 {0}% 증가"
"This Gem gains {0}% reduced Experience","이 젬의 경험치 획득 {0}% 감소"
"{0}% increased Quantity of Sockets","홈의 수 {0}% 증가"
"{0}% reduced Quantity of Sockets","홈의 수 {0}% 감소"
"{0}% increased Socket Connectivity","홈 연결 {0}% 증가"
"{0}% reduced Socket Connectivity","홈 연결 {0}% 감소"
"{0}% increased Trap duration","덫 지속시간 {0}% 증가"
"{0}% reduced Trap duration","덫 지속시간 {0}% 감소"
"{0}% increased Mine duration","지뢰 지속시간 {0}% 증가"
"{0}% reduced Mine duration","지뢰 지속시간 {0}% 감소"
"{0}% increased Trap Trigger Area of Effect","덫 발동 효과 범위 {0}% 증가"
"{0}% reduced Trap Trigger Area of Effect","덫 발동 효과 범위 {0}% 감소"
"{0}% increased Mine Detonation Area of Effect","지뢰 폭파 효과 범위 {0}% 증가"
"{0}% reduced Mine Detonation Area of Effect","지뢰 폭파 효과 범위 {0}% 감소"
"{0}% increased Trap Throwing Speed","덫 투척 속도 {0}% 증가"
"{0}% reduced Trap Throwing Speed","덫 투척 속도 {0}% 감소"
"{0}% increased Mine Throwing Speed","지뢰 투척 속도 {0}% 증가"
"{0}% increased Monster Responsiveness","몬스터 반응성 {0}% 증가"
"{0}% reduced Monster Responsiveness","몬스터 반응성 {0}% 감소"
"{0} Endurance Charges granted per one hundred nearby enemies","근접한 적 100명당 인내 충전 {0}개 제공"
"{0}% increased Skill Range","스킬 범위 {0}% 증가"
"{0}% reduced Skill Range","스킬 범위 {0}% 감소"
"Gain {0}% of Physical Damage as Extra Fire Damage","물리 피해의 {0}%를 추가 화염 피해로 획득"
"Gain {0}% of Physical Damage as Extra Cold Damage","물리 피해의 {0}%를 추가 냉기 피해로 획득"
"Gain {0}% of Physical Damage as Extra Lightning Damage","물리 피해의 {0}%를 추가 번개 피해로 획득"
"Gain {0}% of Physical Damage as Extra Chaos Damage","물리 피해의 {0}%를 추가 카오스 피해로 획득"
"Gain {0}% of Lightning Damage as Extra Fire Damage","번개 피해의 {0}%를 추가 화염 피해로 획득"
"Gain {0}% of Lightning Damage as Extra Cold Damage","번개 피해의 {0}%를 추가 냉기 피해로 획득"
"Gain {0}% of Lightning Damage as Extra Chaos Damage","번개 피해의 {0}%를 추가 카오스 피해로 획득"
"Gain {0}% of Cold Damage as Extra Fire Damage","냉기 피해의 {0}%를 추가 화염 피해로 획득"
"Gain {0}% of Cold Damage as Extra Chaos Damage","냉기 피해의 {0}%를 추가 카오스 피해로 획득"
"Gain {0}% of Fire Damage as Extra Chaos Damage","화염 피해의 {0}%를 추가 카오스 피해로 획득"
"Gain {0}% of Elemental Damage as Extra Chaos Damage","원소 피해의 {0}%를 추가 카오스 피해로 획득"
"Regenerate {0}% of Life per second","초당 생명력의 {0}% 재생"
"{0}% of Maximum Life taken per second as Chaos Damage","초당 최대 생명력의 {0}%를 카오스 피해로 받음"
"{0} Chaos Damage taken per second","초당 받는 카오스 피해 {0}"
"{0}% increased Chaos Damage taken over time","받는 지속 카오스 피해 {0}% 증가"
"{0}% reduced Chaos Damage taken over time","받는 지속 카오스 피해 {0}% 감소"
"{0}% reduced Mana Cost","마나 소모 {0}% 감소"
"Minions have {0} maximum Life","소환수의 최대 생명력 {0}"
"Knocks Back Enemies if you get a Critical Strike","치명타를 가하는 경우 적을 밀어냄"
"Knocks Back Enemies if you get a Critical Strike with a Bow","활로 치명타를 가하는 경우 적을 밀어냄"
"Knocks Back Enemies if you get a Critical Strike with a Staff","지팡이로 치명타를 가하는 경우 적을 밀어냄"
"Knocks Back Enemies if you get a Critical Strike with a Wand","마법봉으로 치명타를 가하는 경우 치명타 시 적을 밀어냄"
"Knocks Back Enemies in an Area when you use a Flask","플라스크 사용 시 범위 내 적을 밀어냄"
"{0}% of Physical Damage Converted to Fire Damage","물리 피해의 {0}%를 화염 피해로 전환"
"{0}% of Physical Damage Converted to Cold Damage","물리 피해의 {0}%를 냉기 피해로 전환"
"{0}% of Physical Damage Converted to Lightning Damage","물리 피해의 {0}%를 번개 피해로 전환"
"{0}% of Physical Damage Converted to Chaos Damage","물리 피해의 {0}%를 카오스 피해로 전환"
"{0}% of Lightning Damage Converted to Fire Damage","번개 피해의 {0}%를 화염 피해로 전환"
"{0}% of Lightning Damage Converted to Cold Damage","번개 피해의 {0}%를 냉기 피해로 전환"
"{0}% of Lightning Damage Converted to Chaos Damage","번개 피해의 {0}%를 카오스 피해로 전환"
"{0}% of Cold Damage Converted to Fire Damage","냉기 피해의 {0}%를 화염 피해로 전환"
"{0}% of Cold Damage Converted to Chaos Damage","냉기 피해의 {0}%를 카오스 피해로 전환"
"{0}% of Fire Damage Converted to Chaos Damage","화염 피해의 {0}%를 카오스 피해로 전환"
"{0}% increased Energy Shield from Equipped Shield","장착한 방패로 얻는 에너지 보호막 {0}% 증가"
"{0}% reduced Energy Shield from Equipped Shield","장착한 방패로 얻는 에너지 보호막 {0}% 감소"
"Minions deal {0}% increased Damage","소환수가 주는 피해 {0}% 증가"
"Minions deal {0}% reduced Damage","소환수가 주는 피해 {0}% 감소"
"Minions deal {0}% increased Damage per {1} Dexterity","소환수가 민첩 {1}당 주는 피해 {0}% 증가"
"Minions deal {0}% reduced Damage per {1} Dexterity","소환수가 민첩 {1}당 주는 피해 {0}% 감소"
"Cursed enemies grant {0}% more Melee Physical Damage on Melee hit","저주받은 적을 근접 타격 시 근접 물리 피해 {0}% 증폭"
"Cursed enemies grant {0}% less Melee Physical Damage on Melee hit","저주받은 적이 근접 공격 시 물리 피해 {0}% 감폭"
"Grants attacked Enemy {0}% more Melee Physical Damage","공격받은 적의 근접 물리 피해 {0}% 증폭"
"Grants attacked Enemy {0}% less Melee Physical Damage","공격받은 적의 근접 물리 피해 {0}% 감폭"
"{0}% increased Mana Regeneration Rate per Power Charge","권능 충전 하나당 마나 재생 속도 {0}% 증가"
"{0}% reduced Mana Regeneration Rate per Power Charge","권능 충전 하나당 마나 재생 속도 {0}% 감소"
"{0}% increased Elemental Damage","원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage","원소 피해 {0}% 감소"
"{0}% increased Melee Damage","근접 피해 {0}% 증가"
"{0}% reduced Melee Damage","근접 피해 {0}% 감소"
"{0}% increased Melee Physical Damage","근접 물리 피해 {0}% 증가"
"{0}% reduced Melee Physical Damage","근접 물리 피해 {0}% 감소"
"{0}% increased Melee Fire Damage","근접 화염 피해 {0}% 증가"
"{0}% reduced Melee Fire Damage","근접 화염 피해 {0}% 감소"
"{0}% increased Melee Cold Damage","근접 냉기 피해 {0}% 증가"
"{0}% reduced Melee Cold Damage","근접 냉기 피해 {0}% 감소"
"{0}% increased Melee Physical Damage while holding a Shield","방패를 들고 있는 동안 근접 물리 피해 {0}% 증가"
"{0}% reduced Melee Physical Damage while holding a Shield","방패를 들고 있는 동안 근접 물리 피해 {0}% 감소"
"{0}% increased Melee Fire Damage while holding a Shield","방패를 들고 있는 동안 근접 화염 피해 {0}% 증가"
"{0}% reduced Melee Fire Damage while holding a Shield","방패를 들고 있는 동안 근접 화염 피해 {0}% 감소"
"{0}% increased Melee Cold Damage while holding a Shield","방패를 들고 있는 동안 근접 냉기 피해 {0}% 증가"
"{0}% reduced Melee Cold Damage while holding a Shield","방패를 들고 있는 동안 근접 냉기 피해 {0}% 감소"
"{0}% increased Bow Physical Damage while holding a Shield","방패를 들고 있는 동안 활 물리 피해 {0}% 증가"
"{0}% reduced Bow Physical Damage while holding a Shield","방패를 들고 있는 동안 활 물리 피해 {0}% 감소"
"{0}% to maximum Chance to Block Attack Damage","공격 피해 막기 확률 최대치 {0}%"
"{0}% to maximum Chance to Block Spell Damage per {1} Strength","힘 {1}당 주문 피해 막기 확률 최대치 {0}%"
"{0}% increased Evasion from Equipped Shield","장착한 방패로 얻는 회피 {0}% 증가"
"{0}% reduced Evasion from Equipped Shield","장착한 방패로 얻는 회피 {0}% 감소"
"{0}% increased Armour from Equipped Shield","장착한 방패로 얻는 방어도 {0}% 증가"
"{0}% reduced Armour from Equipped Shield","장착한 방패로 얻는 방어도 {0}% 감소"
"{0}% increased Defences from Equipped Shield","장착한 방패로 얻는 방어력 {0}% 증가"
"{0}% reduced Defences from Equipped Shield","장착한 방패로 얻는 방어력 {0}% 감소"
"{0}% chance to Knock enemies Back on Hit","명중 시 {0}%의 확률로 적을 밀어냄"
"{0}% increased Projectile Damage","투사체 피해 {0}% 증가"
"{0}% reduced Projectile Damage","투사체 피해 {0}% 감소"
"{0}% increased Projectile Attack Damage","투사체 공격 피해 {0}% 증가"
"{0}% reduced Projectile Attack Damage","투사체 공격 피해 {0}% 감소"
"{0} Evasion Rating from Equipped Shield","장착한 방패로 얻는 회피 {0}"
"{0} Armour from Equipped Shield","장착한 방패로 얻는 방어도 {0}"
"{0} Energy Shield from Equipped Shield","장착한 방패로 얻는 에너지 보호막 {0}"
"{0}% increased Physical Damage with Ranged Weapons","원거리 무기 사용 시 물리 피해 {0}% 증가"
"{0}% reduced Physical Damage with Ranged Weapons","원거리 무기 사용 시 물리 피해 {0}% 감소"
"{0}% increased Cast Speed when on Low Life","낮은 생명력 상태에서 시전 속도 {0}% 증가"
"{0}% reduced Cast Speed when on Low Life","낮은 생명력 상태에서 시전 속도 {0}% 감소"
"{0}% increased Cast Speed when on Full Life","생명력이 가득 찬 상태일 시 시전 속도 {0}% 증가"
"{0}% reduced Cast Speed when on Full Life","생명력이 가득 찬 상태일 시 시전 속도 {0}% 감소"
"{0}% increased Cast Speed per Frenzy Charge","격분 충전 하나당 시전 속도 {0}% 증가"
"{0}% reduced Cast Speed per Frenzy Charge","격분 충전 하나당 시전 속도 {0}% 감소"
"{0}% increased Knockback Distance","밀어내기 거리 {0}% 증가"
"{0}% reduced Knockback Distance","밀어내기 거리 {0}% 감소"
"{0} to Accuracy Rating with Swords","검 정확도 {0} 증가"
"{0} to Accuracy Rating with Bows","활 정확도 {0} 증가"
"{0} to Accuracy Rating with Daggers","단검 정확도 {0} 증가"
"{0} to Accuracy Rating with Axes","도끼 정확도 {0} 증가"
"{0} to Accuracy Rating with Claws","클로 정확도 {0} 증가"
"{0} to Accuracy Rating with Staves","지팡이 정확도 {0} 증가"
"{0} to Accuracy Rating with Wands","마법봉 정확도 {0} 증가"
"{0}% increased Rarity of Items Dropped by Slain enemies","처치한 적이 떨어뜨리는 아이템 희귀도 {0}% 증가"
"{0}% reduced Rarity of Items Dropped by Slain enemies","처치한 적이 떨어뜨리는 아이템 희귀도 {0}% 감소"
"{0}% increased Quantity of Items Dropped by Slain enemies","처치한 적이 떨어뜨리는 아이템 수량 {0}% 증가"
"{0}% reduced Quantity of Items Dropped by Slain enemies","처치한 적이 떨어뜨리는 아이템 수량 {0}% 감소"
"{0}% increased Duration per {1} Strength","힘 {1}당 지속시간 {0}% 증가"
"Strength provides no bonus to Maximum Life","힘에 따른 생명력 최대치 보너스 없음"
"Intelligence provides no bonus to Maximum Mana","지능에 따른 마나 최대치 보너스 없음"
"{0} Accuracy Rating per {1} Intelligence","지능 {1}당 정확도 {0}"
"{0} Life per {1} Dexterity","민첩 {1}당 생명력 {0}"
"{0} Mana per {1} Strength","힘 {1}당 최대 마나 {0}"
"{0} to Maximum Life per {1} Intelligence","지능 {1}당 최대 생명력 {0}"
"{0}% increased Accuracy Rating","정확도 {0}% 증가"
"{0}% reduced Accuracy Rating","정확도 {0}% 감소"
"{0}% chance to Ignite","{0}%의 확률로 점화"
"Always Ignite","항상 점화"
"{0}% chance to Scorch Enemies","{0}%의 확률로 적 그을림"
"Always Scorch Enemies","항상 적 그을림"
"{0}% more Burning Damage","화상 피해 {0}% 증폭"
"{0}% less Burning Damage","화상 피해 {0}% 감폭"
"Always Freezes Enemies on Hit","명중 시 항상 적을 동결"
"{0}% chance to Freeze","{0}%의 확률로 동결"
"{0}% chance to inflict Brittle","{0}%의 확률로 허약 유발"
"Always inflict Brittle","항상 허약 유발"
"Critical Strikes do not always Freeze","치명타가 항상 동결을 유발하지는 않음"
"{0}% chance to Freeze Enemies which are Chilled","{0}%의 확률로 냉각된 적을 동결시킴"
"{0}% chance to Shock","{0}%의 확률로 감전"
"Always Shock","항상 감전"
"{0}% chance to Sap Enemies","{0}%의 확률로 적 활력 감소"
"Always Sap Enemies","항상 적 활력 감소"
"{0}% increased Area Damage","범위 피해 {0}% 증가"
"{0}% reduced Area Damage","범위 피해 {0}% 감소"
"Gain {0}% of Wand Physical Damage as Extra Fire Damage","마법봉 물리 피해의 {0}%를 화염 피해로 추가"
"Gain {0}% of Wand Physical Damage as Extra Cold Damage","마법봉 물리 피해의 {0}%를 냉기 피해로 추가"
"Gain {0}% of Wand Physical Damage as Extra Lightning Damage","마법봉 물리 피해의 {0}%를 번개 피해로 추가"
"Hits that Stun Enemies have Culling Strike","적 기절 시 마무리 타격 효과"
"Hits can't be Evaded","타격이 항상 명중함"
"Your hits can't be Evaded","타격이 항상 명중함"
"All hits are Critical Strikes","모든 공격이 치명타"
"Increases wall length by {0}","벽 길이 {0} 증가"
"{0}% increased Attack and Cast Speed","공격 및 시전 속도 {0}% 증가"
"{0}% reduced Attack and Cast Speed","공격 및 시전 속도 {0}% 감소"
"{0}% increased Attack Speed per Frenzy Charge","격분 충전 하나당 공격 속도 {0}% 증가"
"{0}% reduced Attack Speed per Frenzy Charge","격분 충전 하나당 공격 속도 {0}% 감소"
"{0}% increased Attack and Cast Speed per Frenzy Charge","격분 충전 하나당 공격 및 시전 속도 {0}% 증가"
"{0}% reduced Attack and Cast Speed per Frenzy Charge","격분 충전 하나당 공격 및 시전 속도 {0}% 감소"
"{0}% increased Accuracy Rating per Frenzy Charge","격분 충전 하나당 정확도 {0}% 증가"
"{0}% reduced Accuracy Rating per Frenzy Charge","격분 충전 하나당 정확도 {0}% 감소"
"{0}% increased Frenzy Charge Duration per Frenzy Charge","격분 충전 하나당 격분 충전 지속시간 {0}% 증가"
"{0}% reduced Frenzy Charge Duration per Frenzy Charge","격분 충전 하나당 격분 충전 지속시간 {0}% 감소"
"While at maximum Frenzy Charges, Attacks Poison Enemies","최대 격분 충전 상태에서 공격 시 적 중독"
"Attacks have {0}% chance to Poison while at maximum Frenzy Charges","격분 충전 상태에서 공격 시 적 중독 확률 최대치 {0}%"
"Attacks always Poison while at maximum Frenzy Charges","최대 격분 충전 상태에서 공격 시 항상 적 중독"
"{0}% increased Area of Effect while you have no Frenzy Charges","격분 충전이 없는 동안 효과 범위 {0}% 증가"
"{0}% reduced Area of Effect while you have no Frenzy Charges","격분 충전이 없는 동안 효과 범위 {0}% 감소"
"{0}% increased Character Size","캐릭터 크기 {0}% 증가"
"{0}% reduced Character Size","캐릭터 크기 {0}% 감소"
"Gain a Power Charge when a Minion Dies","소환수 사망 시 권능 충전 획득"
"{0}% increased Life Recovery from Flasks","플라스크로 얻는 생명력 회복 {0}% 증가"
"{0}% increased Mana Recovery from Flasks","플라스크로 얻는 마나 회복 {0}% 증가"
"{0}% increased Flask Recovery rate","플라스크 회복 속도 {0}% 증가"
"Flasks gain a Charge when you take a Critical Strike","치명타 피격 시 플라스크 충전 획득"
"{0}% chance for Flasks to gain a Charge when you take a Critical Strike","치명타 피격 시 플라스크 충전을 획득할 확률 {0}%"
"{0}% chance for Flasks to gain {1} Charges when you take a Critical Strike","치명타 피격 시 플라스크 충전 {1}개를 획득할 확률 {0}%"
"{0}% increased Fire Damage with Weapons","무기 사용 시 화염 피해 {0}% 증가"
"{0}% reduced Fire Damage with Weapons","무기 사용 시 화염 피해 {0}% 감소"
"{0}% increased Cold Damage with Weapons","무기 사용 시 냉기 피해 {0}% 증가"
"{0}% reduced Cold Damage with Weapons","무기 사용 시 냉기 피해 {0}% 감소"
"{0}% increased Lightning Damage with Weapons","무기 사용 시 번개 피해 {0}% 증가"
"{0}% reduced Lightning Damage with Weapons","무기 사용 시 번개 피해 {0}% 감소"
"{0}% increased Chaos Damage with Weapons","무기 사용 시 카오스 피해 {0}% 증가"
"{0}% reduced Chaos Damage with Weapons","무기 사용 시 카오스 피해 {0}% 감소"
"{0}% increased Spell Elemental Damage","주문 원소 피해 {0}% 증가"
"Adds {0} to {1} Lightning Damage to Wand Attacks","마법봉 공격 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Fire Damage to Wand Attacks","마법봉 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Cold Damage to Wand Attacks","마법봉 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Physical Damage to Bow Attacks","활 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Cold Damage to Axe Attacks","도끼 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Bow Attacks","활 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Claw Attacks","클로 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Dagger Attacks","단검 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Staff Attacks","지팡이 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Sword Attacks","검 공격 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Fire Damage to Axe Attacks","도끼 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Bow Attacks","활 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Claw Attacks","클로 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Dagger Attacks","단검 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Staff Attacks","지팡이 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Sword Attacks","검 공격 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Lightning Damage to Axe Attacks","도끼 공격 시 {0}~{1}의 번개 피해 추가"
