"# of Rampage Kills:","광란의 적 처치 횟수:"
"Ailment calculation mode:","질병 계산 방법:"
"Divergent Blood and Sand","상이한 피와 모래"
"Anomalous Blood Magic","기묘한 혈마법 보조"
"Divergent Blood Magic","상이한 혈마법 보조"
"Anomalous Blood Rage","기묘한 피의 격노"
"Divergent Blood Rage","상이한 피의 격노"
"Anomalous Bloodlust","기묘한 유혈 충동 보조"
"Divergent Bloodlust","상이한 유혈 충동 보조"
"Anomalous Bodyswap","기묘한 신체 전환"
"Divergent Bodyswap","상이한 신체 전환"
"Phantasmal Bodyswap","몽환적인 신체 전환"
"Anomalous Bone Offering","기묘한 뼈 공물"
"Divergent Bone Offering","상이한 뼈 공물"
"Anomalous Bonechill","기묘한 사무치는 한기 보조"
"Divergent Bonechill","상이한 사무치는 한기 보조"
"Anomalous Brand Recall","기묘한 낙인 소환"
"Anomalous Brutality","기묘한 포악함 보조"
"Divergent Brutality","상이한 포악함 보조"
"Anomalous Burning Arrow","기묘한 불타는 화살"
"Divergent Burning Arrow","상이한 불타는 화살"
"Anomalous Burning Damage","기묘한 화상 피해 보조"
"Divergent Burning Damage","상이한 화상 피해 보조"
"Anomalous Cast On Critical Strike","기묘한 치명타 시 시전 보조"
"Divergent Cast On Critical Strike","상이한 치명타 시 시전 보조"
"Anomalous Cast on Death","기묘한 사망 시 시전 보조"
"Divergent Cast on Death","상이한 사망 시 시전 보조"
"Anomalous Cast on Melee Kill","기묘한 근접 처치 시 시전 보조"
"Divergent Cast on Melee Kill","상이한 근접 처치 시 시전 보조"
"Anomalous Cast when Damage Taken","기묘한 피격 시 시전 보조"
"Divergent Cast when Damage Taken","상이한 피격 시 시전 보조"
"Anomalous Cast when Stunned","기묘한 기절 시 시전 보조"
"Divergent Cast when Stunned","상이한 기절 시 시전 보조"
"Anomalous Cast while Channelling","기묘한 집중 유지 중 시전 보조"
"Divergent Cast while Channelling","상이한 집중 유지 중 시전 보조"
"Anomalous Caustic Arrow","기묘한 부식성 화살"
"Divergent Caustic Arrow","상이한 부식성 화살"
"Anomalous Chain","기묘한 연쇄 보조"
"Divergent Chain","상이한 연쇄 보조"
"Anomalous Chain Hook","기묘한 사슬 갈고리"
"Divergent Chain Hook","상이한 사슬 갈고리"
"Anomalous Chance to Bleed","기묘한 출혈 확률 보조"
"Divergent Chance to Bleed","상이한 출혈 확률 보조"
"Anomalous Chance to Flee","기묘한 도망칠 확률 보조"
"Anomalous Charged Dash","기묘한 충전 질주"
"Divergent Charged Dash","상이한 충전 질주"
"Anomalous Charged Mines","기묘한 충전된 지뢰 보조"
"Divergent Charged Mines","상이한 충전된 지뢰 보조"
"Anomalous Charged Traps","기묘한 충전된 덫 보조"
"Divergent Charged Traps","상이한 충전된 덫 보조"
"Anomalous Clarity","기묘한 명상"
"Divergent Clarity","상이한 명상"
"Anomalous Cleave","기묘한 회전베기"
"Divergent Cleave","상이한 회전베기"
"Phantasmal Cleave","몽환적인 회전베기"
"Anomalous Close Combat","기묘한 근접 전투 보조"
"Divergent Close Combat","상이한 근접 전투 보조"
"Anomalous Cluster Traps","기묘한 무리 덫 보조"
"Divergent Cluster Traps","상이한 무리 덫 보조"
"Anomalous Cobra Lash","기묘한 코브라 채찍"
"Divergent Cobra Lash","상이한 코브라 채찍"
"Anomalous Cold Penetration","기묘한 냉기 관통 보조"
"Divergent Cold Penetration","상이한 냉기 관통 보조"
"Anomalous Cold Snap","기묘한 한파"
"Divergent Cold Snap","상이한 한파"
"Anomalous Cold to Fire","기묘한 냉기 화염 전환 보조"
"Divergent Cold to Fire","상이한 냉기 화염 전환 보조"
"Anomalous Combustion","기묘한 연소 보조"
"Divergent Combustion","상이한 연소 보조"
"Anomalous Concentrated Effect","기묘한 효과 집중 보조"
"Divergent Concentrated Effect","상이한 효과 집중 보조"
"Anomalous Conductivity","기묘한 전도성"
"Divergent Conductivity","상이한 전도성"
"Anomalous Consecrated Path","기묘한 축성의 진격"
"Divergent Consecrated Path","상이한 축성의 진격"
"Phantasmal Consecrated Path","몽환적인 축성의 진격"
"Anomalous Contagion","기묘한 전염"
"Divergent Contagion","상이한 전염"
"Anomalous Controlled Destruction","기묘한 제어된 파괴 보조"
"Divergent Controlled Destruction","상이한 제어된 파괴 보조"
"Anomalous Conversion Trap","기묘한 전향 덫"
"Divergent Conversion Trap","상이한 전향 덫"
"Anomalous Convocation","기묘한 소집"
"Divergent Convocation","상이한 소집"
"Anomalous Crackling Lance","기묘한 치직대는 창"
"Divergent Crackling Lance","상이한 치직대는 창"
"Phantasmal Crackling Lance","몽환적인 치직대는 창"
"Anomalous Creeping Frost","기묘한 엄습하는 서리"
"Divergent Creeping Frost","상이한 엄습하는 서리"
"Phantasmal Creeping Frost","몽환적인 엄습하는 서리"
"Anomalous Cremation","기묘한 시체 소각"
"Divergent Cremation","상이한 시체 소각"
"Phantasmal Cremation","몽환적인 시체 소각"
"Anomalous Culling Strike","기묘한 마무리 타격 보조"
"Divergent Culling Strike","상이한 마무리 타격 보조"
"Anomalous Cyclone","기묘한 회오리바람"
"Divergent Cyclone","상이한 회오리바람"
"Phantasmal Cyclone","몽환적인 회오리바람"
"Anomalous Damage on Full Life","기묘한 최대 생명력 시 피해 보조"
"Divergent Damage on Full Life","상이한 최대 생명력 시 피해 보조"
"Anomalous Dark Pact","기묘한 어둠의 서약"
"Divergent Dark Pact","상이한 어둠의 서약"
"Anomalous Dash","기묘한 질주"
"Divergent Dash","상이한 질주"
"Anomalous Deadly Ailments","기묘한 치명적인 상태 이상 보조"
"Divergent Deadly Ailments","상이한 치명적인 상태 이상 보조"
"Anomalous Decay","기묘한 부패 보조"
"Divergent Decay","상이한 부패 보조"
"Anomalous Decoy Totem","기묘한 미끼 토템"
"Divergent Decoy Totem","상이한 미끼 토템"
"Phantasmal Decoy Totem","몽환적인 미끼 토템"
"Anomalous Desecrate","기묘한 모독"
"Divergent Desecrate","상이한 모독"
"Phantasmal Desecrate","몽환적인 모독"
"Anomalous Despair","기묘한 절망"
"Divergent Despair","상이한 절망"
"Anomalous Determination","기묘한 결의"
"Divergent Determination","상이한 결의"
"Anomalous Detonate Dead","기묘한 시체 폭발"
"Divergent Detonate Dead","상이한 시체 폭발"
"Anomalous Detonate Mines","기묘한 지뢰 폭발"
"Anomalous Devouring Totem","기묘한 포식 토템"
"Divergent Devouring Totem","상이한 포식 토템"
"Anomalous Discharge","기묘한 방출"
"Divergent Discharge","상이한 방출"
"Phantasmal Discharge","몽환적인 방출"
"Anomalous Discipline","기묘한 단련"
"Divergent Discipline","상이한 단련"
"Anomalous Divine Ire","기묘한 신성한 진노"
"Divergent Divine Ire","상이한 신성한 진노"
"Anomalous Dominating Blow","기묘한 지배의 강타"
"Divergent Dominating Blow","상이한 지배의 강타"
"Phantasmal Dominating Blow","몽환적인 지배의 강타"
"Anomalous Double Strike","기묘한 이중 타격"
"Divergent Double Strike","상이한 이중 타격"
"Anomalous Dread Banner","기묘한 공포의 깃발"
"Divergent Dread Banner","상이한 공포의 깃발"
"Anomalous Dual Strike","기묘한 쌍수 타격"
"Divergent Dual Strike","상이한 쌍수 타격"
"Phantasmal Dual Strike","몽환적인 쌍수 타격"
"Anomalous Earthquake","기묘한 지진"
"Divergent Earthquake","상이한 지진"
"Phantasmal Earthquake","몽환적인 지진"
"Anomalous Earthshatter","기묘한 지면 분쇄"
"Divergent Earthshatter","상이한 지면 분쇄"
"Phantasmal Earthshatter","몽환적인 지면 분쇄"
"Anomalous Efficacy","기묘한 효력 보조"
"Divergent Efficacy","상이한 효력 보조"
"Anomalous Elemental Army","기묘한 원소의 군단 보조"
"Divergent Elemental Army","상이한 원소의 군단 보조"
"Anomalous Elemental Damage with Attacks","기묘한 공격 시 원소 피해 보조"
"Divergent Elemental Damage with Attacks","상이한 공격 시 원소 피해 보조"
"Anomalous Elemental Focus","기묘한 원소 집중 보조"
"Divergent Elemental Focus","상이한 원소 집중 보조"
"Anomalous Elemental Hit","기묘한 원소의 일격"
"Divergent Elemental Hit","상이한 원소의 일격"
"Anomalous Elemental Penetration","기묘한 원소 관통 보조"
"Anomalous Elemental Proliferation","기묘한 원소 확산 보조"
"Divergent Elemental Proliferation","상이한 원소 확산 보조"
"Anomalous Elemental Weakness","기묘한 원소 약화"
"Divergent Elemental Weakness","상이한 원소 약화"
"Anomalous Empower","기묘한 강화 보조"
"Anomalous Endurance Charge on Melee Stun","기묘한 기절 시 인내 충전 보조"
"Divergent Endurance Charge on Melee Stun","상이한 기절 시 인내 충전 보조"
"Anomalous Enduring Cry","기묘한 인내의 함성"
"Divergent Enduring Cry","상이한 인내의 함성"
"Anomalous Energy Leech","기묘한 에너지 흡수 보조"
"Divergent Energy Leech","상이한 에너지 흡수 보조"
"Anomalous Enfeeble","기묘한 쇠약화"
"Divergent Enfeeble","상이한 쇠약화"
"Anomalous Enhance","기묘한 향상 보조"
"Anomalous Enlighten","기묘한 계몽 보조"
"Anomalous Ensnaring Arrow","기묘한 올가미 화살"
"Divergent Ensnaring Arrow","상이한 올가미 화살"
"Anomalous Essence Drain","기묘한 정수 흡수"
"Divergent Essence Drain","상이한 정수 흡수"
"Anomalous Ethereal Knives","기묘한 천상의 단도"
"Divergent Ethereal Knives","상이한 천상의 단도"
"Anomalous Explosive Arrow","기묘한 폭발 화살"
"Divergent Explosive Arrow","상이한 폭발 화살"
"Anomalous Explosive Trap","기묘한 폭발 덫"
"Divergent Explosive Trap","상이한 폭발 덫"
"Anomalous Faster Attacks","기묘한 공격 속도 증가 보조"
"Divergent Faster Attacks","상이한 공격 속도 증가 보조"
"Anomalous Faster Casting","기묘한 시전 속도 증가 보조"
"Divergent Faster Casting","상이한 시전 속도 증가 보조"
"Anomalous Faster Projectiles","기묘한 투사체 속도 증가 보조"
"Divergent Faster Projectiles","상이한 투사체 속도 증가 보조"
"Anomalous Feeding Frenzy","기묘한 격분 주입 보조"
"Divergent Feeding Frenzy","상이한 격분 주입 보조"
"Anomalous Fire Penetration","기묘한 화염 관통 보조"
"Divergent Fire Penetration","상이한 화염 관통 보조"
"Anomalous Fire Trap","기묘한 화염 덫"
"Divergent Fire Trap","상이한 화염 덫"
"Anomalous Fireball","기묘한 화염구"
"Divergent Fireball","상이한 화염구"
"Phantasmal Fireball","몽환적인 화염구"
"Anomalous Firestorm","기묘한 화염 폭풍"
"Divergent Firestorm","상이한 화염 폭풍"
"Anomalous Fist of War","기묘한 전쟁의 주먹 보조"
"Divergent Fist of War","상이한 전쟁의 주먹 보조"
"Anomalous Flame Dash","기묘한 화염 질주"
"Divergent Flame Dash","상이한 화염 질주"
"Anomalous Flame Surge","기묘한 화염 쇄도"
"Divergent Flame Surge","상이한 화염 쇄도"
"Anomalous Flame Wall","기묘한 화염 벽"
"Divergent Flame Wall","상이한 화염 벽"
"Phantasmal Flame Wall","몽환적인 화염 벽"
"Anomalous Flameblast","기묘한 화염파"
"Divergent Flameblast","상이한 화염파"
"Phantasmal Flameblast","몽환적인 화염파"
"Anomalous Flamethrower Trap","기묘한 화염방사기 덫"
"Divergent Flamethrower Trap","상이한 화염방사기 덫"
"Anomalous Flammability","기묘한 인화성"
"Divergent Flammability","상이한 인화성"
"Anomalous Flesh and Stone","기묘한 육체와 돌"
"Divergent Flesh and Stone","상이한 육체와 돌"
"Anomalous Flesh Offering","기묘한 살점 공물"
"Divergent Flesh Offering","상이한 살점 공물"
"Anomalous Flicker Strike","기묘한 점멸 타격"
"Divergent Flicker Strike","상이한 점멸 타격"
"Anomalous Fork","기묘한 갈래 보조"
"Divergent Fork","상이한 갈래 보조"
"Anomalous Fortify","기묘한 방어 상승 보조"
"Divergent Fortify","상이한 방어 상승 보조"
"Anomalous Freezing Pulse","기묘한 동결 파동"
"Divergent Freezing Pulse","상이한 동결 파동"
"Anomalous Frenzy","기묘한 격분"
"Divergent Frenzy","상이한 격분"
"Phantasmal Frenzy","몽환적인 격분"
"Anomalous Frost Blades","기묘한 서리 칼날"
"Divergent Frost Blades","상이한 서리 칼날"
"Anomalous Frost Bomb","기묘한 서리 폭탄"
"Divergent Frost Bomb","상이한 서리 폭탄"
"Phantasmal Frost Bomb","몽환적인 서리 폭탄"
"Anomalous Frost Shield","기묘한 서리 방패"
"Divergent Frost Shield","상이한 서리 방패"
"Phantasmal Frost Shield","몽환적인 서리 방패"
"Anomalous Frost Wall","기묘한 서리 방벽"
"Divergent Frost Wall","상이한 서리 방벽"
"Anomalous Frostbite","기묘한 동상"
"Divergent Frostbite","상이한 동상"
"Anomalous Frostblink","기묘한 서리점멸"
"Divergent Frostblink","상이한 서리점멸"
"Anomalous Frostbolt","기묘한 서리 구체"
"Divergent Frostbolt","상이한 서리 구체"
"Phantasmal Frostbolt","몽환적인 서리 구체"
"Anomalous Galvanic Arrow","기묘한 충격 화살"
"Divergent Galvanic Arrow","상이한 충격 화살"
"Anomalous General's Cry","기묘한 장군의 함성"
"Divergent General's Cry","상이한 장군의 함성"
"Anomalous Generosity","기묘한 관대함 보조"
"Divergent Generosity","상이한 관대함 보조"
"Anomalous Glacial Cascade","기묘한 빙하 폭포"
"Divergent Glacial Cascade","상이한 빙하 폭포"
"Anomalous Glacial Hammer","기묘한 빙하 망치"
"Divergent Glacial Hammer","상이한 빙하 망치"
"Anomalous Grace","기묘한 은총"
"Divergent Grace","상이한 은총"
"Anomalous Greater Multiple Projectiles","기묘한 상위 다중 투사체 보조"
"Divergent Greater Multiple Projectiles","상이한 상위 다중 투사체 보조"
"Anomalous Greater Volley","기묘한 상위 사격 공세 보조"
"Divergent Greater Volley","상이한 상위 사격 공세 보조"
"Anomalous Ground Slam","기묘한 대지 강타"
"Divergent Ground Slam","상이한 대지 강타"
"Anomalous Haste","기묘한 가속"
"Divergent Haste","상이한 가속"
"Phantasmal Haste","몽환적인 가속"
"Anomalous Hatred","기묘한 증오"
"Divergent Hatred","상이한 증오"
"Anomalous Heavy Strike","기묘한 묵직한 타격"
"Divergent Heavy Strike","상이한 묵직한 타격"
"Anomalous Herald of Agony","기묘한 고통의 전령"
"Divergent Herald of Agony","상이한 고통의 전령"
"Anomalous Herald of Ash","기묘한 재의 전령"
"Divergent Herald of Ash","상이한 재의 전령"
"Anomalous Herald of Ice","기묘한 얼음의 전령"
"Divergent Herald of Ice","상이한 얼음의 전령"
"Anomalous Herald of Purity","기묘한 순수의 전령"
"Divergent Herald of Purity","상이한 순수의 전령"
"Anomalous Hexblast","기묘한 사술 폭발"
"Divergent Hexblast","상이한 사술 폭발"
"Phantasmal Hexblast","몽환적인 사술 폭발"
"Anomalous Hextouch","기묘한 사술 손길 보조"
"Divergent Hextouch","상이한 사술 손길 보조"
"Anomalous Holy Flame Totem","기묘한 신성한 화염 토템"
"Divergent Holy Flame Totem","상이한 신성한 화염 토템"
"Phantasmal Holy Flame Totem","몽환적인 신성한 화염 토템"
"Anomalous Hydrosphere","기묘한 물의 구체"
"Divergent Hydrosphere","상이한 물의 구체"
"Anomalous Hypothermia","기묘한 체온저하 보조"
"Divergent Hypothermia","상이한 체온저하 보조"
"Anomalous Ice Bite","기묘한 얼음 쐐기 보조"
"Divergent Ice Bite","상이한 얼음 쐐기 보조"
"Anomalous Ice Crash","기묘한 얼음 충격"
"Divergent Ice Crash","상이한 얼음 충격"
"Phantasmal Ice Crash","몽환적인 얼음 충격"
"Anomalous Ice Nova","기묘한 얼음 폭발"
"Divergent Ice Nova","상이한 얼음 폭발"
"Phantasmal Ice Nova","몽환적인 얼음 폭발"
"Anomalous Ice Shot","기묘한 얼음 화살"
"Divergent Ice Shot","상이한 얼음 화살"
"Anomalous Ice Spear","기묘한 얼음 창"
"Divergent Ice Spear","상이한 얼음 창"
"Phantasmal Ice Spear","몽환적인 얼음 창"
"Anomalous Ice Trap","기묘한 얼음 덫"
"Divergent Ice Trap","상이한 얼음 덫"
"Anomalous Icicle Mine","기묘한 고드름 지뢰"
"Divergent Icicle Mine","상이한 고드름 지뢰"
"Anomalous Ignite Proliferation","기묘한 점화 확산 보조"
"Divergent Ignite Proliferation","상이한 점화 확산 보조"
"Anomalous Immolate","기묘한 번제 보조"
"Divergent Immolate","상이한 번제 보조"
"Anomalous Immortal Call","기묘한 불멸의 외침"
"Divergent Immortal Call","상이한 불멸의 외침"
"Anomalous Impale","기묘한 꿰뚫기 보조"
"Divergent Impale","상이한 꿰뚫기 보조"
"Anomalous Impending Doom","기묘한 임박한 멸망 보조"
"Divergent Impending Doom","상이한 임박한 멸망 보조"
"Anomalous Incinerate","기묘한 소각"
"Divergent Incinerate","상이한 소각"
"Anomalous Increased Area of Effect","기묘한 효과 범위 증가 보조"
"Divergent Increased Area of Effect","상이한 효과 범위 증가 보조"
"Anomalous Increased Critical Damage","기묘한 치명타 피해 증가 보조"
"Divergent Increased Critical Damage","상이한 치명타 피해 증가 보조"
"Anomalous Increased Critical Strikes","기묘한 치명타 증가 보조"
"Divergent Increased Critical Strikes","상이한 치명타 증가 보조"
"Anomalous Increased Duration","기묘한 지속시간 증가 보조"
"Divergent Increased Duration","상이한 지속시간 증가 보조"
"Anomalous Infernal Blow","기묘한 지옥불 강타"
"Divergent Infernal Blow","상이한 지옥불 강타"
"Phantasmal Infernal Blow","몽환적인 지옥불 강타"
"Anomalous Infernal Cry","기묘한 지옥불 함성"
"Divergent Infernal Cry","상이한 지옥불 함성"
"Phantasmal Infernal Cry","몽환적인 지옥불 함성"
"Anomalous Infernal Legion","기묘한 지옥불 군단 보조"
"Divergent Infernal Legion","상이한 지옥불 군단 보조"
"Anomalous Infused Channelling","기묘한 깊어지는 집중 유지 보조"
"Divergent Infused Channelling","상이한 깊어지는 집중 유지 보조"
"Anomalous Innervate","기묘한 자극 보조"
"Divergent Innervate","상이한 자극 보조"
"Anomalous Inspiration","기묘한 영감 보조"
"Divergent Inspiration","상이한 영감 보조"
"Anomalous Intensify","기묘한 격화 보조"
"Divergent Intensify","상이한 격화 보조"
"Phantasmal Intensify","몽환적인 격화 보조"
"Anomalous Intimidating Cry","기묘한 위협의 함성"
"Divergent Intimidating Cry","상이한 위협의 함성"
"Phantasmal Intimidating Cry","몽환적인 위협의 함성"
"Anomalous Iron Grip","기묘한 강철 손아귀 보조"
"Divergent Iron Grip","상이한 강철 손아귀 보조"
"Anomalous Iron Will","기묘한 강철의 의지 보조"
"Divergent Iron Will","상이한 강철의 의지 보조"
"Anomalous Item Rarity","기묘한 아이템 희귀도 보조"
"Anomalous Kinetic Blast","기묘한 역학 폭발"
"Divergent Kinetic Blast","상이한 역학 폭발"
"Anomalous Kinetic Bolt","기묘한 역학 투사체"
"Divergent Kinetic Bolt","상이한 역학 투사체"
"Anomalous Knockback","기묘한 밀어내기 보조"
"Divergent Knockback","상이한 밀어내기 보조"
"Anomalous Lacerate","기묘한 연속 베기"
"Divergent Lacerate","상이한 연속 베기"
"Anomalous Lancing Steel","기묘한 강철 관통"
"Divergent Lancing Steel","상이한 강철 관통"
"Phantasmal Lancing Steel","몽환적인 강철 관통"
"Anomalous Leap Slam","기묘한 도약 강타"
"Divergent Leap Slam","상이한 도약 강타"
"Phantasmal Leap Slam","몽환적인 도약 강타"
"Anomalous Less Duration","기묘한 지속시간 감소 보조"
"Divergent Less Duration","상이한 지속시간 감소 보조"
"Anomalous Lesser Multiple Projectiles","기묘한 하급 다중 투사체 보조"
"Divergent Lesser Multiple Projectiles","상이한 하급 다중 투사체 보조"
"Anomalous Lesser Poison","기묘한 하급 중독 보조"
"Divergent Lesser Poison","상이한 하급 중독 보조"
"Anomalous Life Gain on Hit","기묘한 명중 시 생명력 획득 보조"
"Divergent Life Gain on Hit","상이한 명중 시 생명력 획득 보조"
"Anomalous Life Leech","기묘한 생명력 흡수 보조"
"Divergent Life Leech","상이한 생명력 흡수 보조"
"Anomalous Lightning Arrow","기묘한 번개 화살"
"Divergent Lightning Arrow","상이한 번개 화살"
"Phantasmal Lightning Arrow","몽환적인 번개 화살"
"Anomalous Lightning Penetration","기묘한 번개 관통 보조"
"Divergent Lightning Penetration","상이한 번개 관통 보조"
"Anomalous Lightning Spire Trap","기묘한 번개 첨탑 덫"
"Divergent Lightning Spire Trap","상이한 번개 첨탑 덫"
"Anomalous Lightning Strike","기묘한 번개 타격"
"Divergent Lightning Strike","상이한 번개 타격"
"Phantasmal Lightning Strike","몽환적인 번개 타격"
"Anomalous Lightning Tendrils","기묘한 덩굴 번개"
"Divergent Lightning Tendrils","상이한 덩굴 번개"
"Phantasmal Lightning Tendrils","몽환적인 덩굴 번개"
"Anomalous Lightning Trap","기묘한 번개 덫"
"Divergent Lightning Trap","상이한 번개 덫"
"Anomalous Lightning Warp","기묘한 번개 차원 이동"
"Divergent Lightning Warp","상이한 번개 차원 이동"
"Phantasmal Lightning Warp","몽환적인 번개 차원 이동"
"Anomalous Maim","기묘한 힘줄 절단 보조"
"Divergent Maim","상이한 힘줄 절단 보조"
"Anomalous Malevolence","기묘한 악의"
"Divergent Malevolence","상이한 악의"
"Anomalous Mana Leech","기묘한 마나 흡수 보조"
"Divergent Mana Leech","상이한 마나 흡수 보조"
"Anomalous Meat Shield","기묘한 육탄 방어 보조"
"Divergent Meat Shield","상이한 육탄 방어 보조"
"Anomalous Melee Physical Damage","기묘한 근접 물리 피해 보조"
"Divergent Melee Physical Damage","상이한 근접 물리 피해 보조"
"Anomalous Melee Splash","기묘한 근접 범위 피해 보조"
"Divergent Melee Splash","상이한 근접 범위 피해 보조"
"Anomalous Minefield","기묘한 지뢰밭 보조"
"Divergent Minefield","상이한 지뢰밭 보조"
"Anomalous Minion Damage","기묘한 소환수 피해 보조"
"Divergent Minion Damage","상이한 소환수 피해 보조"
"Anomalous Minion Life","기묘한 소환수 생명력 보조"
"Divergent Minion Life","상이한 소환수 생명력 보조"
"Anomalous Minion Speed","기묘한 소환수 속도 보조"
"Divergent Minion Speed","상이한 소환수 속도 보조"
"Anomalous Mirage Archer","기묘한 신기루 궁수 보조"
"Divergent Mirage Archer","상이한 신기루 궁수 보조"
"Anomalous Mirror Arrow","기묘한 거울 화살"
"Divergent Mirror Arrow","상이한 거울 화살"
"Phantasmal Mirror Arrow","몽환적인 거울 화살"
"Anomalous Molten Shell","기묘한 용암 방패"
"Divergent Molten Shell","상이한 용암 방패"
"Anomalous Molten Strike","기묘한 용암 타격"
"Divergent Molten Strike","상이한 용암 타격"
"Phantasmal Molten Strike","몽환적인 용암 타격"
"Anomalous Multiple Totems","기묘한 다중 토템 보조"
"Divergent Multiple Totems","상이한 다중 토템 보조"
"Anomalous Multiple Traps","기묘한 다중 덫 보조"
"Divergent Multiple Traps","상이한 다중 덫 보조"
"Anomalous Multistrike","기묘한 연속타격 보조"
"Divergent Multistrike","상이한 연속타격 보조"
"Anomalous Nightblade","기묘한 밤의 칼날 보조"
"Divergent Nightblade","상이한 밤의 칼날 보조"
"Anomalous Onslaught","기묘한 맹공 보조"
"Divergent Onslaught","상이한 맹공 보조"
"Anomalous Orb of Storms","기묘한 폭풍 보주"
"Divergent Orb of Storms","상이한 폭풍 보주"
"Anomalous Penance Brand","기묘한 속죄의 낙인"
"Divergent Penance Brand","상이한 속죄의 낙인"
"Anomalous Perforate","기묘한 천공"
"Divergent Perforate","상이한 천공"
"Phantasmal Perforate","몽환적인 천공"
"Anomalous Pestilent Strike","기묘한 전염성 일격"
"Divergent Pestilent Strike","상이한 전염성 일격"
"Phantasmal Pestilent Strike","몽환적인 전염성 일격"
"Anomalous Phase Run","기묘한 위상 질주"
"Divergent Phase Run","상이한 위상 질주"
"Anomalous Physical to Lightning","기묘한 물리 번개 전환 보조"
"Divergent Physical to Lightning","상이한 물리 번개 전환 보조"
"Anomalous Pierce","기묘한 관통 보조"
"Divergent Pierce","상이한 관통 보조"
"Anomalous Pinpoint","기묘한 핵심 조준 보조"
"Divergent Pinpoint","상이한 핵심 조준 보조"
"Anomalous Plague Bearer","기묘한 독성 운반자"
"Divergent Plague Bearer","상이한 독성 운반자"
"Anomalous Poacher's Mark","기묘한 밀렵꾼의 징표"
"Divergent Poacher's Mark","상이한 밀렵꾼의 징표"
"Anomalous Point Blank","기묘한 근접 사격 보조"
"Divergent Point Blank","상이한 근접 사격 보조"
"Anomalous Poison","기묘한 중독 보조"
"Divergent Poison","상이한 중독 보조"
"Anomalous Portal","기묘한 포탈"
"Anomalous Power Charge On Critical","기묘한 치명타 시 권능 충전 보조"
"Divergent Power Charge On Critical","상이한 치명타 시 권능 충전 보조"
"Anomalous Power Siphon","기묘한 권능 착취"
"Divergent Power Siphon","상이한 권능 착취"
"Anomalous Precision","기묘한 정밀함"
"Divergent Precision","상이한 정밀함"
"Anomalous Predator","기묘한 포식자 보조"
"Divergent Predator","상이한 포식자 보조"
"Anomalous Pride","기묘한 자부심"
"Divergent Pride","상이한 자부심"
"Anomalous Pulverise","기묘한 분쇄 보조"
"Divergent Pulverise","상이한 분쇄 보조"
"Anomalous Puncture","기묘한 관통상"
"Divergent Puncture","상이한 관통상"
"Phantasmal Puncture","몽환적인 관통상"
"Anomalous Punishment","기묘한 응징"
"Divergent Punishment","상이한 응징"
"Anomalous Purifying Flame","기묘한 정화의 불길"
"Divergent Purifying Flame","상이한 정화의 불길"
"Phantasmal Purifying Flame","몽환적인 정화의 불길"
"Anomalous Purity of Elements","기묘한 원소의 순수함"
"Divergent Purity of Elements","상이한 원소의 순수함"
"Anomalous Purity of Fire","기묘한 불의 순수함"
"Divergent Purity of Fire","상이한 불의 순수함"
"Anomalous Purity of Ice","기묘한 얼음의 순수함"
"Divergent Purity of Ice","상이한 얼음의 순수함"
"Anomalous Purity of Lightning","기묘한 번개의 순수함"
"Divergent Purity of Lightning","상이한 번개의 순수함"
"Anomalous Pyroclast Mine","기묘한 화산탄 지뢰"
"Divergent Pyroclast Mine","상이한 화산탄 지뢰"
"Phantasmal Pyroclast Mine","몽환적인 화산탄 지뢰"
"Anomalous Rage","기묘한 격노 보조"
"Divergent Rage","상이한 격노 보조"
"Anomalous Rain of Arrows","기묘한 화살비"
"Divergent Rain of Arrows","상이한 화살비"
"Phantasmal Rain of Arrows","몽환적인 화살비"
"Anomalous Raise Spectre","기묘한 망령 소환"
"Divergent Raise Spectre","상이한 망령 소환"
"Phantasmal Raise Spectre","몽환적인 망령 소환"
"Anomalous Raise Zombie","기묘한 좀비 소환"
"Divergent Raise Zombie","상이한 좀비 소환"
"Phantasmal Raise Zombie","몽환적인 좀비 소환"
"Anomalous Rallying Cry","기묘한 집결의 함성"
"Divergent Rallying Cry","상이한 집결의 함성"
"Phantasmal Rallying Cry","몽환적인 집결의 함성"
"Anomalous Reave","기묘한 약탈"
"Divergent Reave","상이한 약탈"
"Phantasmal Reave","몽환적인 약탈"
"Anomalous Reckoning","기묘한 역습"
"Divergent Reckoning","상이한 역습"
"Phantasmal Reckoning","몽환적인 역습"
"Anomalous Rejuvenation Totem","기묘한 회복 토템"
"Divergent Rejuvenation Totem","상이한 회복 토템"
"Anomalous Righteous Fire","기묘한 정의의 화염"
"Divergent Righteous Fire","상이한 정의의 화염"
"Anomalous Riposte","기묘한 반격"
"Divergent Riposte","상이한 반격"
"Anomalous Rolling Magma","기묘한 몰려오는 마그마"
"Divergent Rolling Magma","상이한 몰려오는 마그마"
"Phantasmal Rolling Magma","몽환적인 몰려오는 마그마"
"Anomalous Ruthless","기묘한 무자비 보조"
"Divergent Ruthless","상이한 무자비 보조"
"Anomalous Scorching Ray","기묘한 작열 광선"
"Divergent Scorching Ray","상이한 작열 광선"
"Anomalous Scourge Arrow","기묘한 재앙의 화살"
"Divergent Scourge Arrow","상이한 재앙의 화살"
"Phantasmal Scourge Arrow","몽환적인 재앙의 화살"
"Anomalous Searing Bond","기묘한 불타는 굴레"
"Divergent Searing Bond","상이한 불타는 굴레"
